Title,Price,Description
Leather Sofa,245,"Three-seater, dark brown, very comfortable, smoke-free home"
Free Moving Boxes,0,"About 20 boxes, various sizes, must pick up this weekend"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Math Tutoring,55,"Middle and high school math, in-person or virtual"
Leather Sofa,310,"Three-seater, dark brown, very comfortable, smoke-free home"
House Cleaning Service,60,"Reliable weekly or biweekly cleaning, references available"
Men's Winter Jacket,30,"Size large, worn a few times, very warm"
Aquarium Setup,50,"20 gallon tank with filter, light, and gravel included"
Guitar Lessons,30,"Offering beginner to intermediate lessons, flexible schedule"
Math Tutoring,35,"Middle and high school math, in-person or virtual"
Math Tutoring,45,"Middle and high school math, in-person or virtual"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
House Cleaning Service,90,"Reliable weekly or biweekly cleaning, references available"
2015 Honda Civic,12545,"Well maintained, single owner, recent oil change and new tires"
Used iPhone 13,460,"Good condition, minor scratches on the back, includes charger"
Golden Retriever Puppies,430,"Eight weeks old, vet checked, both parents on site"
Gaming Laptop,775,"Runs great, upgraded RAM, includes original box and charger"
Women's Designer Handbag,210,"Authentic, gently used, comes with dust bag"
Used iPhone 13,405,"Good condition, minor scratches on the back, includes charger"
Vintage Record Player,155,"Fully functional, includes a small collection of vinyl"
Vintage Record Player,120,"Fully functional, includes a small collection of vinyl"
House Cleaning Service,60,"Reliable weekly or biweekly cleaning, references available"
Free Moving Boxes,0,"About 20 boxes, various sizes, must pick up this weekend"
Electric Guitar,305,"Includes amp and gig bag, great condition"
Women's Designer Handbag,135,"Authentic, gently used, comes with dust bag"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Aquarium Setup,105,"20 gallon tank with filter, light, and gravel included"
Mountain Bike,335,"21-speed, lightly used, minor rust on the chain"
Math Tutoring,55,"Middle and high school math, in-person or virtual"
Aquarium Setup,50,"20 gallon tank with filter, light, and gravel included"
Vintage Record Player,105,"Fully functional, includes a small collection of vinyl"
Women's Designer Handbag,190,"Authentic, gently used, comes with dust bag"
Used iPhone 13,325,"Good condition, minor scratches on the back, includes charger"
Free Moving Boxes,0,"About 20 boxes, various sizes, must pick up this weekend"
2015 Honda Civic,10445,"Well maintained, single owner, recent oil change and new tires"
2015 Honda Civic,12285,"Well maintained, single owner, recent oil change and new tires"
Aquarium Setup,90,"20 gallon tank with filter, light, and gravel included"
Golden Retriever Puppies,465,"Eight weeks old, vet checked, both parents on site"
Used iPhone 13,300,"Good condition, minor scratches on the back, includes charger"
Guitar Lessons,40,"Offering beginner to intermediate lessons, flexible schedule"
Golden Retriever Puppies,885,"Eight weeks old, vet checked, both parents on site"
Free Moving Boxes,0,"About 20 boxes, various sizes, must pick up this weekend"
Gaming Laptop,580,"Runs great, upgraded RAM, includes original box and charger"
Used iPhone 13,355,"Good condition, minor scratches on the back, includes charger"
Baby Crib,120,"Convertible crib, includes mattress, smoke-free home"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Office Desk,105,"L-shaped, sturdy, minor wear on the corners"
Gaming Laptop,515,"Runs great, upgraded RAM, includes original box and charger"
Used iPhone 13,410,"Good condition, minor scratches on the back, includes charger"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Used iPhone 13,490,"Good condition, minor scratches on the back, includes charger"
Vintage Record Player,110,"Fully functional, includes a small collection of vinyl"
Aquarium Setup,40,"20 gallon tank with filter, light, and gravel included"
Guitar Lessons,40,"Offering beginner to intermediate lessons, flexible schedule"
Aquarium Setup,50,"20 gallon tank with filter, light, and gravel included"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Women's Designer Handbag,170,"Authentic, gently used, comes with dust bag"
Office Desk,65,"L-shaped, sturdy, minor wear on the corners"
Aquarium Setup,65,"20 gallon tank with filter, light, and gravel included"
2015 Honda Civic,9875,"Well maintained, single owner, recent oil change and new tires"
Guitar Lessons,35,"Offering beginner to intermediate lessons, flexible schedule"
Snow Blower,145,"Two-stage, starts on first pull, used two seasons"
Used iPhone 13,350,"Good condition, minor scratches on the back, includes charger"
Baby Crib,90,"Convertible crib, includes mattress, smoke-free home"
Baby Crib,95,"Convertible crib, includes mattress, smoke-free home"
Snow Blower,120,"Two-stage, starts on first pull, used two seasons"
Golden Retriever Puppies,560,"Eight weeks old, vet checked, both parents on site"
Women's Designer Handbag,195,"Authentic, gently used, comes with dust bag"
Snow Blower,290,"Two-stage, starts on first pull, used two seasons"
Vintage Record Player,90,"Fully functional, includes a small collection of vinyl"
Electric Guitar,180,"Includes amp and gig bag, great condition"
2015 Honda Civic,10055,"Well maintained, single owner, recent oil change and new tires"
Solid Wood Dining Table,275,"Seats six, minor scratches on the surface, pickup only"
House Cleaning Service,105,"Reliable weekly or biweekly cleaning, references available"
Aquarium Setup,90,"20 gallon tank with filter, light, and gravel included"
Electric Guitar,255,"Includes amp and gig bag, great condition"
Baby Crib,145,"Convertible crib, includes mattress, smoke-free home"
2015 Honda Civic,10035,"Well maintained, single owner, recent oil change and new tires"
House Cleaning Service,105,"Reliable weekly or biweekly cleaning, references available"
Men's Winter Jacket,55,"Size large, worn a few times, very warm"
House Cleaning Service,70,"Reliable weekly or biweekly cleaning, references available"
Aquarium Setup,90,"20 gallon tank with filter, light, and gravel included"
Guitar Lessons,40,"Offering beginner to intermediate lessons, flexible schedule"
Math Tutoring,35,"Middle and high school math, in-person or virtual"
House Cleaning Service,90,"Reliable weekly or biweekly cleaning, references available"
Free Moving Boxes,0,"About 20 boxes, various sizes, must pick up this weekend"
Aquarium Setup,95,"20 gallon tank with filter, light, and gravel included"
Gaming Laptop,860,"Runs great, upgraded RAM, includes original box and charger"
Men's Winter Jacket,30,"Size large, worn a few times, very warm"
Free Firewood,0,"Seasoned oak, you haul, located on the east side"
Solid Wood Dining Table,380,"Seats six, minor scratches on the surface, pickup only"
Electric Guitar,375,"Includes amp and gig bag, great condition"
Men's Winter Jacket,55,"Size large, worn a few times, very warm"
Guitar Lessons,25,"Offering beginner to intermediate lessons, flexible schedule"
Baby Crib,125,"Convertible crib, includes mattress, smoke-free home"
2015 Honda Civic,11740,"Well maintained, single owner, recent oil change and new tires"
Guitar Lessons,30,"Offering beginner to intermediate lessons, flexible schedule"
Free Moving Boxes,0,"About 20 boxes, various sizes, must pick up this weekend"
2015 Honda Civic,12160,"Well maintained, single owner, recent oil change and new tires"
